Sec_of_day {s},latitude {deg},longitude {deg},h_ellipsiod {m},num_sats
9125,30.3496716666667,-97.7211866666667,234.2,12
9125,30.3496716666667,-97.7211883333333,234,12
9125,30.3496783333333,-97.7211883333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9180,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9181,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9182,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9183,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9184,30.3496816666667,-97.7211933333333,234.1,12
9185,30.3496816666667,-97.7211933333333,234.1,12
