Sec_of_day {s},latitude {deg},longitude {deg},h_ellipsiod {m},num_sats
80583,30.3496083333333,-97.721155,235.4,12
80584,30.3496133333333,-97.721155,235.4,12
80584,30.349615,-97.721155,235.4,12
80584,30.3496133333333,-97.7211583333333,235.2,12
80584,30.3496133333333,-97.7211583333333,235.2,12
80584,30.34962,-97.72116,235.2,12
80584,30.34962,-97.7211616666667,235.2,12
80584,30.34962,-97.7211616666667,235.2,12
80584,30.34962,-97.72117,235.7,12
80584,30.3496183333333,-97.72117,235.6,12
80584,30.3496183333333,-97.721175,236,12
80585,30.3496183333333,-97.7211783333333,235.8,12
80585,30.3496183333333,-97.7211783333333,235.9,12
80585,30.3496233333333,-97.7211783333333,236.4,12
80585,30.3496316666667,-97.7211783333333,236.3,12
80585,30.3496316666667,-97.7211783333333,236.4,12
80585,30.3496316666667,-97.7211783333333,236.4,12
80585,30.3496316666667,-97.7211783333333,236.4,12
80585,30.3496316666667,-97.7211783333333,236.4,12
80585,30.3496316666667,-97.7211783333333,236.4,12
80585,30.3496316666667,-97.7211783333333,236.4,12
80640,30.3496316666667,-97.7211783333333,236.4,12
80640,30.3496316666667,-97.7211783333333,236.4,12
80640,30.3496616666667,-97.72118,236.6,12
80640,30.3496616666667,-97.72118,236.6,12
80640,30.3496666666667,-97.7211816666667,236.7,12
80640,30.3496666666667,-97.7211816666667,236.7,12
80640,30.349665,-97.72118,236.6,12
80640,30.349665,-97.72118,236.6,12
80640,30.349665,-97.72118,236.6,12
80640,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80641,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80642,30.349665,-97.72118,236.6,12
80643,30.349665,-97.72118,236.6,12
80643,30.349665,-97.72118,236.6,12
80643,30.349665,-97.72118,236.6,12
80643,30.349665,-97.72118,236.6,12
80643,30.349665,-97.72118,236.6,12
80643,30.3496766666667,-97.7211933333333,235,12
80643,30.3496783333333,-97.721195,235.1,12
80643,30.3496783333333,-97.7212,235.1,12
