Sec_of_day {s},latitude {deg},longitude {deg},h_ellipsiod {m},num_sats
43982,30.3497066666667,-97.7213066666667,234.5,12
43982,30.3497066666667,-97.7213066666667,234.5,12
43982,30.349705,-97.7213066666667,234.7,12
43982,30.349705,-97.7213066666667,234.7,12
43982,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43983,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43984,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.349705,-97.7213066666667,234.7,12
43985,30.3496866666667,-97.72131,233,12
43985,30.3496883333333,-97.72131,233,12
43985,30.3496883333333,-97.7213116666667,233,12
44040,30.34969,-97.7213133333333,233,12
44040,30.3496866666667,-97.721315,232.9,12
44040,30.3496866666667,-97.721315,232.9,12
44040,30.3496883333333,-97.7213116666667,232.9,12
44040,30.34969,-97.7213083333333,232.8,12
44040,30.3496933333333,-97.721305,232.6,12
44040,30.349695,-97.7213016666667,232.6,12
44040,30.349695,-97.7213016666667,232.6,12
44040,30.3496983333333,-97.721295,232.3,12
44040,30.3496983333333,-97.72129,231.8,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44041,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44042,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44043,30.3496983333333,-97.7212883333333,231.7,12
44044,30.3496983333333,-97.7212883333333,231.7,12
44044,30.3496966666667,-97.7212883333333,234.4,12
44044,30.3496966666667,-97.7212883333333,234.4,12
44044,30.3496966666667,-97.7212883333333,234.4,12
