SVID,health,we,te,wc,tc,e,sqrta,omega0,M0,L0,i0,dOdt,dn,didt,Cuc,Cus,Crc,Crs,Cic,Cis,af0,af1,af2,TGD
12,0,1653,576000,1653,575999.999996647,0.00358152121771,5153.66585922,-0.0660733241049,-1.20036151092,1.33070739328,0.976345263351,-7.88568588206e-09,4.32125135674e-09,4.96092111835e-10,-4.43309545517e-07,8.53650271893e-06,224.5,-9.09375,7.264316082e-08,-3.72529029846e-09,2.29380093515e-05,2.38742359215e-12,0,-1.210719347e-08
13,0,1653,576000,1653,575999.999996647,0.00462057103869,5153.77532005,1.95405486897,1.45860118064,-0.697334915964,0.988449469482,-8.00711924294e-09,3.98195157855e-09,3.57157734196e-12,-3.76254320145e-07,3.23913991451e-06,330.46875,-7.125,1.26659870148e-07,-1.13621354103e-07,0.00025106780231,-1.81898940355e-12,0,-1.11758708954e-08
14,0,1653,576000,1653,575999.999996647,0.00625198264606,5153.71233368,-2.09432458048,1.50694719847,-0.722293323902,0.981402310751,-8.14248224401e-09,4.1537444595e-09,-2.53581999149e-11,2.32830643654e-07,3.49432229996e-06,319.53125,4.53125,-1.43423676491e-07,-9.31322574616e-09,0.00017264764756,1.81898940355e-12,0,-8.84756445885e-09
15,0,1653,576000,1653,575999.999996647,0.00364028871991,5153.68311882,-0.0800795709727,1.18611298579,-0.80180346279,0.948408017732,-8.51285442138e-09,4.89984675056e-09,-1.57149397662e-11,8.81031155586e-07,2.75112688541e-06,318.78125,17.03125,-5.58793544769e-09,5.21540641785e-08,-0.000105935614556,1.47792889038e-12,0,-1.02445483208e-08
16,0,1653,576000,1653,575999.999996647,0.00626071565784,5153.88376999,-0.0539554016533,2.67067462644,1.34866308301,0.977290700492,-7.75960893314e-09,4.27124934325e-09,4.13588656199e-10,-7.45058059692e-09,8.63522291183e-06,222.8125,-1.78125,-1.47148966789e-07,4.28408384323e-08,-0.000198277644813,-2.16004991671e-12,0,-9.77888703346e-09
17,0,1653,576000,1653,575999.999996647,0.00658881908748,5153.57186127,-2.40294847572,1.8117723358,2.39108981307,0.961668300728,-8.19176992906e-09,4.89198948017e-09,-9.71469016342e-11,-1.17905437946e-06,5.82076609135e-06,270.75,-22.28125,-1.89989805222e-07,1.49011611938e-08,0.000174764543772,-1.47792889038e-12,0,-1.07102096081e-08
18,0,1653,576000,1653,575999.999996647,0.0127704287879,5153.63515854,-2.21616835309,-3.00553131999,-1.81582333151,0.93175633514,-8.04962101331e-09,4.83877298289e-09,1.55363614375e-10,4.61935997009e-06,7.70017504692e-06,212.9375,90,4.842877388e-08,-1.26659870148e-07,0.000157772097737,1.81898940355e-12,0,-1.07102096081e-08
19,0,1653,576000,1653,575999.999996647,0.007605863153,5153.69454193,0.0997806799687,1.10673712816,2.44481686199,0.959177831915,-8.29820279631e-09,5.01270879944e-09,-2.53939149013e-10,-7.78585672379e-07,5.39049506187e-06,270.5,-19.5,7.45058059692e-08,5.96046447754e-08,-0.000184812583029,-3.97903932026e-12,0,-1.44354999065e-08
20,0,1653,576000,1653,575999.999996647,0.00454404926859,5153.59433746,1.26966755628,-2.5882550551,-1.8697144818,0.932046064603,-8.13783897366e-09,4.92949104737e-09,6.78599694973e-11,4.70504164696e-06,7.50832259655e-06,221.125,89.25,-2.04890966415e-08,-5.96046447754e-08,5.30821271241e-05,5.68434188608e-13,0,-7.45058059692e-09
21,0,1653,576000,1653,575999.999996647,0.0181135914754,5153.71558189,-2.33086104419,-1.89465380304,-2.86886170358,0.932027715221,-7.93711632704e-09,4.96770692493e-09,-2.54296306748e-10,-5.47617673874e-07,9.25548374653e-06,182.84375,-7.75,1.76951289177e-07,-2.16066837311e-07,-0.000172066502273,-2.50111042988e-12,0,-1.16415321827e-08
22,0,1653,576000,1653,575999.999996647,0.00592671264894,5153.70485878,-1.97365896602,2.43256512496,-1.81191972625,0.929458042561,-8.23677166603e-09,5.04378152232e-09,1.24648049234e-10,4.21330332756e-06,7.62194395065e-06,214.46875,81.4375,8.19563865662e-08,-7.45058059692e-08,0.000144475139678,-2.27373675443e-13,0,-1.67638063431e-08
23,0,1653,576000,1653,575999.999996647,0.00758838397451,5153.72804832,-3.05673885971,0.627249097226,-0.769804311017,0.96300504066,-8.33641867387e-09,4.58876256895e-09,-5.71452374714e-12,2.27242708206e-07,2.83867120743e-06,325.09375,2.9375,1.71363353729e-07,1.4528632164e-07,0.000275234691799,-3.06954461848e-12,0,-2.00234353542e-08
24,0,1653,576000,1653,575999.999996647,0.00666358531453,5153.42064094,-0.189860761857,0.00159175142284,-2.82227657538,0.948592712603,-8.1121236168e-09,4.72341103474e-09,-4.44661379074e-10,-3.76254320145e-07,9.63360071182e-06,188.375,-2.84375,1.22934579849e-07,1.86264514923e-09,0.000424665864557,3.18323145621e-12,0,-1.39698386192e-09
25,0,1653,576000,1653,575999.999996647,0.00104358361568,5153.59506989,0.999503339932,-2.75420462429,1.29953658083,0.965172699043,-7.97354626769e-09,4.5280459382e-09,4.12517187076e-10,-4.65661287308e-07,8.31112265587e-06,221.875,-8.84375,8.38190317154e-08,-5.02914190292e-08,1.91614963114e-05,1.81898940355e-12,0,5.58793544769e-09
26,0,1653,576000,1653,575999.999996647,0.0203696984099,5153.65509796,1.16095672843,0.431294267766,-0.702467855166,0.986046442209,-8.41320758672e-09,4.15803034151e-09,-1.4643467102e-10,-1.30385160446e-08,3.56696546078e-06,326.78125,1.53125,-3.37138772011e-07,6.89178705216e-08,-0.000160259194672,-1.27329258248e-11,0,-6.053596735e-09
27,0,1653,576000,1653,575999.999996647,0.0216286298819,5153.63165093,-1.20411953826,1.38963327708,0.221850694321,0.981783446261,-7.83604068826e-09,3.95766485263e-09,-7.85747015231e-11,-4.57093119621e-06,7.04079866409e-06,256.96875,-81.71875,3.81842255592e-07,-4.15369868278e-07,0.000306185800582,3.86535248253e-12,0,-4.19095158577e-09
28,0,1653,576000,1653,575999.999996647,0.0171747229761,5153.704422,-1.88048534343,2.4867573906,1.35572259462,0.975601299287,-7.50781273054e-09,4.1683879158e-09,4.21446126351e-10,-4.65661287308e-07,8.91275703907e-06,212.9375,-6.96875,1.17346644402e-07,-1.84401869774e-07,6.82552345097e-05,3.06954461848e-12,0,-1.02445483208e-08
29,0,1653,576000,1653,575999.999996647,0.00222946563736,5153.7217865,-1.16291843135,-1.69997349854,2.39952905685,0.962145481198,-8.13712475178e-09,4.81234341265e-09,-1.17147735956e-10,-1.16415321827e-06,5.88223338127e-06,264.5625,-20.3125,-9.685754776e-08,3.53902578354e-08,0.000240603927523,3.18323145621e-12,0,-9.31322574616e-09
30,0,1653,576000,1653,575999.999996647,0.0117507869145,5155.43509293,1.57634745868,2.64025065708,1.21084265479,0.956498166834,-7.80853954273e-09,4.59769151231e-09,3.25013538118e-10,-7.95349478722e-07,8.39866697788e-06,213,-13.875,1.62050127983e-07,-1.24797224999e-07,8.41692090035e-05,-6.02540239925e-12,0,-4.19095158577e-09
31,0,1653,576000,1653,575999.999996647,0.00766202283557,5153.73983955,-0.953323821855,-0.993722276819,0.277409117717,0.98050169742,-7.92604443728e-09,4.02409619119e-09,5.50022910662e-11,-3.34717333317e-06,8.17142426968e-06,236.125,-59.53125,-1.11758708954e-07,-7.45058059692e-08,0.000142704695463,5.45696821064e-12,0,-1.30385160446e-08
32,0,1653,576000,1653,575999.999996647,0.0121887858259,5153.57331657,-0.733940192584,-0.266762389073,-1.74249937725,0.953634997697,-8.25141513313e-09,4.58447667614e-09,9.25038531568e-11,4.13507223129e-06,7.14510679245e-06,242.375,79.1875,-3.16649675369e-08,-2.99885869026e-07,-0.000330340582877,-6.59383658785e-12,0,-2.79396772385e-09
