SVID,health,we,te,wc,tc,e,sqrta,omega0,M0,L0,i0,dOdt,dn,didt,Cuc,Cus,Crc,Crs,Cic,Cis,af0,af1,af2,TGD
20,0,1758,223200,1758,223200.000003353,0.00553695997223,5153.67615318,1.2878326525,-2.6727082552,-2.4801383724,0.92778042955,-8.5007112316e-09,5.3830813698e-09,4.78948521557e-10,3.94694507122e-06,6.52298331261e-06,236.4375,74.78125,1.86264514923e-08,0,0.000123061705381,2.6147972676e-12,0,-7.91624188423e-09
21,0,1758,223200,1758,223200.000003353,0.0205599754117,5153.64212036,-2.10550847655,-2.13485282553,2.80995363959,0.932248236955,-7.77175229611e-09,4.63376444346e-09,1.21076471893e-10,-2.26870179176e-06,1.35134905577e-05,97.4375,-41.15625,2.51457095146e-07,-1.22934579849e-07,-0.000319132581353,-1.93267624127e-12,0,-1.11758708954e-08
22,0,1758,223200,1758,223200.000003353,0.00678637262899,5153.64328575,-2.03535014096,2.54674893123,-2.42443801816,0.924652363985,-8.55249910306e-09,5.52880172535e-09,5.07878298027e-10,3.68431210518e-06,6.32368028164e-06,236.78125,72.09375,2.60770320892e-08,-9.87201929092e-08,0.000185257289559,1.70530256582e-12,0,-1.72294676304e-08
23,0,1758,223200,1758,223200.000003353,0.00888247531839,5153.65394974,-2.8230182134,0.346073098579,-1.36482010034,0.954132555154,-8.51642617191e-09,4.94449167221e-09,-3.85016037463e-10,-2.69711017609e-06,5.60656189919e-06,267.625,-52.59375,8.00937414169e-08,1.37835741043e-07,4.73670661449e-05,-3.41060513165e-12,0,-2.00234353542e-08
24,0,1758,223184,1758,223183.999999613,0.00104385451414,5153.66549683,0.189546546072,-0.282412499431,-0.338187335226,0.958690868911,-7.89961518421e-09,4.29232160926e-09,-6.714565709e-11,1.00210309029e-06,1.42175704241e-05,104.59375,19.25,5.40167093277e-08,-2.23517417908e-08,-1.39195472002e-05,-6.8212102633e-13,0,3.25962901115e-09
25,0,1758,223200,1758,223200.000003353,0.00274382473435,5153.72009659,0.740762655875,-2.5140167156,0.712052559413,0.974022879437,-8.29177437822e-09,4.59340565584e-09,5.35379462985e-10,4.99933958054e-06,5.5618584156e-06,278.65625,97.125,5.21540641785e-08,-1.11758708954e-07,0.000148242805153,4.09272615798e-12,0,5.58793544769e-09
26,0,1758,223200,1758,223200.000003353,0.0210608540801,5153.68139839,1.25011461602,0.355850807072,-1.28175936564,0.977373299772,-8.45535219936e-09,4.46697178159e-09,-6.01453624386e-10,-2.89082527161e-06,7.1357935667e-06,255.125,-53.875,-2.84984707832e-07,7.82310962677e-08,0.000194516032934,1.84172677109e-11,0,-5.58793544769e-09
27,0,1758,223200,1758,223200.000003353,0.000424134195782,5153.66344452,0.958691124922,0.763197935355,1.76183986523,0.96066028434,-8.52249785339e-09,4.97699302602e-09,-3.94659296287e-10,-4.31388616562e-06,4.01772558689e-06,300.75,-85.46875,5.96046447754e-08,-3.72529029846e-09,-3.7606805563e-05,-4.54747350886e-12,0,1.86264514923e-09
28,0,1758,223200,1758,223200.000003353,0.0187527659582,5153.64885521,-1.76258869057,2.40547741196,0.776129742039,0.984308997312,-7.84496963162e-09,4.26267755763e-09,3.7537277864e-10,4.01958823204e-06,4.43868339062e-06,303.1875,81.8125,2.34693288803e-07,-1.86264514923e-07,0.000293310731649,3.18323145621e-12,0,-1.07102096081e-08
29,0,1758,223200,1758,223200.000003353,0.00146465143189,5153.57894516,-0.991828033436,-1.82984590308,1.81465930076,0.966741851307,-8.42035063897e-09,4.7498405209e-09,-5.41093947426e-10,-5.18746674061e-06,4.87081706524e-06,286.1875,-98.15625,-4.65661287308e-08,4.09781932831e-08,0.000471404287964,3.06954461848e-12,0,-9.31322574616e-09
,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1758,223200,1758,223200.000003353,0.00793066469487,5153.67429161,-0.733218140107,-1.1693997085,-0.302776165488,0.98021528293,-7.72103589785e-09,3.88194741298e-09,7.39316509786e-11,7.00354576111e-07,1.35134905577e-05,133.09375,17.5625,-1.00582838059e-07,-6.89178705216e-08,0.000326067209244,9.09494701773e-13,0,-1.30385160446e-08
32,0,1758,223200,1758,223200.000003353,0.0116022792645,5153.59096909,-0.295449326079,-0.706277033445,-2.33807914636,0.948753551668,-8.54499848657e-09,5.07771158453e-09,4.64662225363e-10,2.9131770134e-06,5.5618584156e-06,267.5625,56.34375,2.98023223877e-08,-2.44006514549e-07,-0.000548054929823,2.84217094304e-12,0,-2.79396772385e-09
