SVID,health,we,te,wc,tc,e,sqrta,omega0,M0,L0,i0,dOdt,dn,didt,Cuc,Cus,Crc,Crs,Cic,Cis,af0,af1,af2,TGD
,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1651,439200,1651,439200.000003353,0.0104590771953,5153.56502151,-2.93626392638,-1.13233950532,-2.64184577175,0.93924140962,-8.13176729218e-09,5.03306679029e-09,-1.16790579082e-10,8.28877091408e-07,1.14683061838e-05,146.65625,17.25,1.52736902237e-07,-9.685754776e-08,0.00035398779437,1.70530256582e-12,0,-1.72294676304e-08
3,0,1651,439200,1651,439200.000003353,0.0147458802676,5153.66156387,1.12812226506,-0.926733936954,2.48219826054,0.929461617933,-8.86679796253e-09,5.76666892016e-09,4.75019780455e-11,-9.22009348869e-07,5.00865280628e-06,266.9375,-24.875,7.45058059692e-09,2.94297933578e-07,0.000762736890465,5.00222085975e-12,0,-4.65661287308e-09
4,0,1651,439200,1651,439200.000003353,0.00974349922035,5153.70582771,0.755395574424,2.12812711379,-2.6246182495,0.938315704318,-8.05962142987e-09,4.95056335369e-09,-1.91436545529e-10,2.08616256714e-07,1.20028853416e-05,138.8125,4.625,-1.9371509552e-07,-1.11758708954e-07,0.000218991190195,1.11413100967e-11,0,-6.51925802231e-09
5,0,1651,439200,1651,439200.000003353,0.00237874814775,5153.74547195,0.143173260107,0.96192498726,-1.57955481002,0.95294728576,-8.38570644119e-09,4.9402057794e-09,1.41791620476e-10,5.86360692978e-06,6.11133873463e-06,254.375,109.5625,4.28408384323e-08,2.79396772385e-08,-0.000212387181819,-5.34328137292e-12,0,-1.02445483208e-08
6,0,1651,439200,1651,439200.000003353,0.00667972641531,5153.69856834,-0.695707251365,1.06902675737,2.55663417151,0.936576713117,-8.59928676624e-09,5.54023077285e-09,-3.53586156854e-11,-1.96136534214e-06,5.07570803165e-06,268.6875,-36.90625,1.73225998878e-07,-7.82310962677e-08,-8.10921192169e-05,9.54969436862e-12,0,-4.65661287308e-09
7,0,1651,439200,1651,439200.000003353,0.00493505666964,5153.64818764,-3.09478036054,-2.58137058602,0.527117555373,0.97525235529,-7.71389274317e-09,3.79765818771e-09,-3.35728270144e-11,-2.9057264328e-06,1.05686485767e-05,184.53125,-54.9375,-6.14672899246e-08,-1.11758708954e-08,2.47750431299e-05,1.81898940355e-12,0,-1.07102096081e-08
8,0,1651,439200,1651,439200.000003353,0.0120350263314,5153.76051903,-3.04482188515,-3.06696877958,0.604658104746,0.997049486496,-7.34852038108e-09,3.29120852062e-09,-1.14290474943e-11,-2.74926424027e-06,1.11050903797e-05,183.9375,-51.90625,-1.41561031342e-07,-2.23517417908e-08,9.04127955437e-06,1.13686837722e-13,0,-4.19095158577e-09
9,0,1651,439200,1651,439200.000003353,0.0173090409953,5153.66983223,1.59772643378,2.9892689038,0.499411766802,0.984134472648,-7.35923511311e-09,3.48371653935e-09,-1.77150236161e-10,-3.83146107197e-06,1.14012509584e-05,166.84375,-77.375,2.03028321266e-07,1.86264514923e-08,0.00010297074914,2.38742359215e-12,0,-5.58793544769e-09
10,0,1651,439200,1651,439200.000003353,0.0103708324023,5153.63426209,0.704360676592,1.18610149165,-1.55642136167,0.947868657391,-8.58500045687e-09,5.09592655151e-09,8.39320675361e-11,5.73694705963e-06,6.50808215141e-06,248.21875,105.1875,-7.82310962677e-08,1.88127160072e-07,-1.1804047972e-05,-1.13686837722e-12,0,-2.32830643654e-09
11,0,1651,439200,1651,439200.000003353,0.0121978787938,5153.67092514,0.961731813316,-2.41967092258,-2.88405700588,0.888387416239,-8.62571614135e-09,6.19418649705e-09,-2.18937687424e-10,-2.59652733803e-06,1.00750476122e-05,142.375,-45.65625,1.4528632164e-07,-1.13621354103e-07,-0.000182196497917,-3.29691829393e-12,0,-1.16415321827e-08
12,0,1651,439200,1651,439200.000003353,0.00358278537169,5153.67370796,-0.0767303063424,-2.79500486971,1.58239404728,0.976105653461,-7.91032949698e-09,4.17303096635e-09,6.60384650529e-10,1.24797224998e-06,8.33906233311e-06,226.71875,22.5625,-2.79396772385e-08,5.58793544769e-08,1.96914188564e-05,2.38742359215e-12,0,-1.210719347e-08
13,1,1651,424800,1651,424799.999996647,0.00463678967208,5153.55305862,1.92739876216,-2.20652370577,-0.445835142435,0.988772138008,-8.06212163695e-09,4.06374089934e-09,-3.73229835926e-10,-2.79955565929e-06,4.22075390816e-06,312.625,-54.46875,0,5.40167093277e-08,0.000253558158875,-1.81898940355e-12,0,-1.11758708954e-08
14,0,1651,439200,1651,439200.000003353,0.00618416070938,5153.70294189,-2.10056214571,-0.0870995618521,-0.470795516534,0.981726568006,-8.4192792682e-09,4.42589864216e-09,-3.76801409577e-10,-1.76578760147e-06,3.12551856041e-06,330.5,-34.84375,-3.53902578354e-08,1.09896063805e-07,0.000170127023011,1.93267624127e-12,0,-8.84756445885e-09
15,0,1651,439200,1651,439200.000003353,0.00359190965537,5153.670578,-0.0749996464592,-0.424083168583,-0.549768577234,0.948736118073,-8.68500462245e-09,5.08842623909e-09,-3.7965867145e-10,-2.05263495445e-06,2.82935798168e-06,320.59375,-38.375,2.23517417908e-08,-5.21540641785e-08,-0.000108070671558,1.5916157281e-12,0,-1.02445483208e-08
16,0,1651,439200,1651,439200.000003353,0.00626203569118,5153.86961365,-0.0588112831889,1.09395513014,1.60033557889,0.977064395843,-7.86925635754e-09,4.14302971667e-09,5.19664503255e-10,6.91041350365e-07,7.89575278759e-06,234.90625,10.75,7.07805156708e-08,1.06170773506e-07,-0.000195311848074,-2.27373675443e-12,0,-9.77888703346e-09
17,0,1651,439200,1651,439200.000003353,0.00655016908422,5153.56816101,-2.40308269845,0.19550368893,2.64277234896,0.961815085539,-8.38106339065e-09,4.94413451448e-09,-1.73221501085e-10,-2.27428972721e-06,6.01820647717e-06,267.1875,-42.875,-2.23517417908e-08,6.33299350738e-08,0.000176863279194,-1.70530256582e-12,0,-1.07102096081e-08
18,0,1651,439200,1651,439200.000003353,0.0127557886299,5153.62874222,-2.21901845544,1.66895556103,-1.56349875453,0.931746995871,-8.68964767299e-09,5.43379776806e-09,2.07508643568e-10,6.40377402306e-06,7.20098614693e-06,228.25,126.75,-3.09199094772e-07,-7.264316082e-08,0.00015525193885,1.81898940355e-12,0,-1.07102096081e-08
19,0,1651,439200,1651,439200.000003353,0.00758674531244,5153.68716049,0.0893918506151,-0.48530600932,2.69652633605,0.959328350094,-8.38534930381e-09,5.00056529518e-09,-1.1786205345e-10,-2.16439366341e-06,5.73508441448e-06,264.96875,-42.375,1.22934579849e-07,-3.35276126862e-08,-0.000179371330887,-4.09272615798e-12,0,-1.44354999065e-08
20,0,1651,439200,1651,439200.000003353,0.00451102294028,5153.60277748,1.26885878787,2.08058227036,-1.61740351873,0.932009823733,-8.44213736319e-09,5.29022035891e-09,2.01794119821e-10,5.40353357792e-06,7.28107988834e-06,220.9375,106.15625,-2.421438694e-08,-1.19209289551e-07,5.24236820638e-05,4.54747350886e-13,0,-7.45058059692e-09
21,0,1651,439200,1651,439200.000003353,0.0180850451579,5153.72632217,-2.33332826577,2.79031845845,-2.61688889403,0.931944416666,-7.84746973576e-09,4.9966367014e-09,-2.98583865788e-10,2.58907675743e-07,1.27293169498e-05,117.40625,7.03125,-5.58793544769e-09,-2.94297933578e-07,-0.000168669037521,-2.50111042988e-12,0,-1.16415321827e-08
22,0,1651,439200,1651,439200.000003353,0.00592995330226,5153.70800591,-1.97214665982,0.827953141012,-1.55956069755,0.929448985635,-8.78715173443e-09,5.50701510357e-09,1.99294015681e-10,6.20633363724e-06,6.97560608387e-06,229.71875,117.6875,-3.16649675369e-08,4.65661287308e-08,0.000144879799336,-1.13686837722e-13,0,-1.67638063431e-08
23,0,1651,439200,1651,439200.000003353,0.0075676033739,5153.73451424,-3.06816378616,-0.959452946826,-0.518008605252,0.963328074915,-8.39749264642e-09,4.68305221078e-09,-2.83940398686e-10,-1.65216624737e-06,2.87778675556e-06,324.625,-29.5,1.08033418655e-07,-1.26659870148e-07,0.000279339961708,-3.06954461848e-12,0,-2.00234353542e-08
24,0,1651,439200,1651,439200.000003353,0.00663606368471,5153.42655754,-0.208390885391,-1.614000881,-2.57054371365,0.948496748102,-8.04819238238e-09,4.75412659988e-09,-1.07504477993e-10,1.02445483208e-07,1.22729688883e-05,138,5.28125,-7.07805156708e-08,-1.04308128357e-07,0.000420402735472,3.18323145621e-12,0,-1.39698386192e-09
25,0,1651,439200,1651,439200.000003353,0.00102253910154,5153.60091972,1.00286729518,1.9118690602,1.55140083016,0.964921603784,-8.07390773924e-09,4.43447042778e-09,6.4181244835e-10,1.20140612125e-06,8.42474400997e-06,216.9375,21.90625,2.421438694e-08,3.16649675369e-08,1.67754478753e-05,1.70530256582e-12,0,5.58793544769e-09
26,0,1651,439200,1651,439200.000003353,0.0203712757211,5153.6542511,1.15968168121,-1.17355693108,-0.451025673795,0.986366800788,-8.25355807954e-09,4.26589197724e-09,-4.47875798682e-10,-2.08988785744e-06,3.95812094212e-06,313.8125,-45.1875,1.52736902237e-07,4.28408384323e-07,-0.000143286772072,-1.25055521494e-11,0,-6.053596735e-09
27,63,1651,439200,1651,439200.000003353,0.0215924560325,5153.63752937,-1.20997018654,-0.213537071316,0.473253624136,0.98168457348,-8.02747723379e-09,3.75408494413e-09,-1.18933525487e-10,-3.6247074604e-06,1.10063701868e-05,185.6875,-69.75,-4.1164457798e-07,-1.80676579475e-07,0.000300982967019,3.86535248253e-12,0,-4.19095158577e-09
28,0,1651,439200,1651,439200.000003353,0.0171519236174,5153.70179558,-1.88195249227,0.886629809405,1.60741999083,0.975371533374,-8.27534485381e-09,4.32196589628e-09,4.21803286743e-10,1.2032687664e-06,8.07084143162e-06,234.625,23.34375,-2.88709998131e-07,-2.98023223877e-08,6.42030499875e-05,2.95585778076e-12,0,-1.02445483208e-08
29,0,1651,439200,1651,439200.000003353,0.00227364408784,5153.72810364,-1.16155537206,2.98327042619,2.65119878196,0.962288645288,-8.19391273793e-09,4.86877423256e-09,-1.49649090628e-10,-2.3078173399e-06,6.07781112194e-06,260.625,-40.25,4.65661287308e-08,4.842877388e-08,0.000236250460148,3.18323145621e-12,0,-9.31322574616e-09
30,0,1651,439200,1651,439200.000003353,0.0117427045479,5155.43551254,1.57296269488,1.23940373403,1.46280991549,0.956219454607,-8.23998608564e-09,4.60019161645e-09,6.20382984299e-10,6.64964318276e-07,9.04127955437e-06,202.34375,15,-1.13621354103e-07,-1.76951289177e-07,9.02777537704e-05,-3.97903932026e-12,0,-4.19095158577e-09
31,0,1651,439200,1651,439200.000003353,0.00762112939265,5153.7328701,-0.952834058826,-2.5917069566,0.528822355254,0.980380185981,-7.63281793751e-09,3.71979780165e-09,-1.6429255773e-10,-4.28408384323e-06,1.05649232864e-05,187.46875,-83.875,1.210719347e-07,9.87201929092e-08,0.000135266687721,5.57065504836e-12,0,-1.30385160446e-08
32,0,1651,439200,1651,439200.000003353,0.0122046504403,5153.5876503,-0.742833043372,-1.8744369335,-1.49049398266,0.953646016396,-8.36641992354e-09,4.86555981295e-09,2.02508435289e-10,5.48548996448e-06,6.68689608574e-06,247.96875,105.53125,-3.70666384697e-07,1.30385160446e-08,-0.000321364961564,-6.8212102633e-12,0,-2.79396772385e-09
