SVID,health,we,te,wc,tc,e,sqrta,omega0,M0,L0,i0,dOdt,dn,didt,Cuc,Cus,Crc,Crs,Cic,Cis,af0,af1,af2,TGD
1,0,2074,93600,2074,93600.0000033528,0.009112509782426,5153.64686203,0.7671749337439,2.747704858788,0.925025882081,0.977099941826,-7.956045686952e-09,4.101599419508e-09,-8.571785620706e-12,-3.134831786156e-06,4.297122359276e-06,305.15625,-59.25,2.048909664154e-08,-7.636845111847e-08,-0.000153701286763,-1.330136001343e-11,0,5.587935447693e-09
2,0,2074,93600,2074,93600.0000033528,0.01919968554284,5153.552316666,-1.710995023868,3.031300858945,0.8535523436412,0.9562233006187,-7.881756878239e-09,4.463400204248e-09,2.035799084918e-11,-2.393499016762e-06,4.058703780174e-06,295.4375,-48.5,2.291053533554e-07,-1.266598701477e-07,-0.0003205663524568,-7.958078640513e-12,0,-2.048909664154e-08
3,0,2074,93600,2074,93600.0000033528,0.002554627018981,5153.702417374,0.7668113942125,1.60818365455,1.967174349028,0.963672126915,-7.897828976278e-09,4.239105147173e-09,1.253623647028e-10,-3.80352139473e-06,9.180977940559e-06,201.625,-72.90625,-3.166496753693e-08,3.166496753693e-08,-1.92616134882e-05,-4.661160346586e-12,0,1.862645149231e-09
4,63,2074,93600,2074,93600.0000033528,0.01476092252415,5153.680006027,0.6845512048654,-1.237676093606,-0.2337240607567,0.9589740152427,-8.181769374964e-09,4.500187450871e-09,3.67872466222e-11,2.771615982056e-06,5.45009970665e-06,273.75,52.71875,3.967434167862e-07,-1.303851604462e-08,-1.976639032364e-05,-4.331468517194e-11,0,-5.587935447693e-09
5,0,2074,93600,2074,93600.0000033528,0.005901472410187,5153.778892517,0.7977559210277,-0.6734527578391,1.938502667331,0.9505401520756,-8.142124866468e-09,4.597691512306e-09,1.289339420448e-10,-2.831220626831e-06,8.387491106987e-06,210.8125,-57.8125,5.587935447693e-08,6.519258022308e-08,-2.081040292978e-06,-3.410605131648e-13,0,-1.117587089539e-08
6,0,2074,93600,2074,93600.0000033528,0.001404840149917,5153.669675827,-1.180792064546,3.120415223259,0.9167546412763,0.9767248130575,-7.963188841636e-09,4.16303054979e-09,-9.643258823294e-12,-2.508983016014e-06,4.379078745842e-06,305.75,-49.8125,1.862645149231e-09,-8.195638656616e-08,-8.180784061551e-05,-1.284661266254e-11,0,4.19095158577e-09
7,0,2074,93600,2074,93600.0000033528,0.01316885044798,5153.724708557,-2.425977438075,2.096972020399,-2.209304470193,0.9545231586695,-8.153911323916e-09,4.987707580284e-09,-1.692927603658e-10,7.208436727524e-07,6.848946213722e-06,247.96875,15.5,-3.017485141754e-07,-1.844018697739e-07,-0.0001217359676957,-7.958078640513e-12,0,-1.117587089539e-08
8,0,2074,93600,2074,93600.0000033528,0.004504751064815,5153.56584549,-0.2323288713958,-1.151730355724,-0.1423882655799,0.9705158390917,-8.087837066739e-09,4.258034369542e-09,1.153619491601e-10,2.747401595116e-06,5.584210157394e-06,279.28125,52.15625,-7.078051567078e-08,-9.872019290924e-08,-9.026378393173e-06,-1.364242052659e-12,0,5.122274160385e-09
9,0,2074,93600,2074,93600.0000033528,0.001485963352025,5153.581560135,1.672661183726,-0.8738420928364,2.998780759118,0.9529506958215,-8.080336578452e-09,4.865202655219e-09,3.328710082708e-10,7.152557373047e-07,8.570030331612e-06,215.25,14.21875,3.166496753693e-08,-9.313225746155e-09,-5.001202225685e-05,-1.00044417195e-11,0,1.396983861923e-09
10,0,2074,93600,2074,93600.0000033528,0.004908947390504,5153.668619156,-2.73999106438,0.7705541925836,1.964006914874,0.9636643749121,-7.921758544469e-09,4.298036173316e-09,1.189335254873e-10,-3.09944152832e-06,9.423121809959e-06,199.625,-59.75,-5.960464477539e-08,1.322478055954e-07,-8.37198458612e-05,-1.557509676786e-11,0,1.862645149231e-09
